Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 4;SULAWESI;PALU;KOL;AOi426032708274520344ce80;INC49694396;;0
202605;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;PSP;AOi42603300821518901c9de0;INC49693247;;0
202605;AREA 3;JATENG-DIY;SEMARANG;SLI;AOs32603271023260947e1770;INC49689515;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;BPD;AOi426032511085169176bbe0;INC49685450;;0
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KRG;AOi4260330044800989f1c590;INC49684991;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi426031912094426258edf0;INC49679054;;0
202605;AREA 2;JABAR;BANDUNG;RJW;AOi42603300645152916b0d40;INC49677447;;0
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;PGP;AOi4260327043715925e85010;INC49672922;;0
202605;AREA 4;SULAWESI;KENDARI;KDR;AOi426032902445693686af50;INC49671946;;1
202605;AREA 4;KALIMANTAN;PONTIANAK;SEI;AOi4260326095227972818fe0;INC49668482;;0
202605;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;KRG;AOi1260326013822107d74850;INC49666467;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi426033110380932488faf0;INC49664282;;0
202605;AREA 4;SULAWESI;KENDARI;PMA;AOi42603270846563789804e0;INC49658844;;0
202605;AREA 1;SUMBAGSEL;BENGKULU;LLG;AOi42603280940106900f6830;INC49656500;;0
202605;AREA 1;SUMBAGSEL;PALEMBANG;SKY;AOi4260325090643431d04790;INC49656694;;1
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;LBP;AOi4260327070755339ef3310;INC49653151;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;KTN;AOi42603300754411397edee0;INC49652791;;1
202605;AREA 4;KALIMANTAN;PONTIANAK;STG;AOi4260329072752091989750;INC49649145;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;MGA;AOi4260327123652208b81c50;INC49646724;;0
202605;AREA 2;JABAR;TASIKMALAYA;PAX;AOi4260327050953558ce1be0;INC49644583;;0
202605;AREA 4;SULAWESI;PARE-PARE;PLP;AOi4260328025444496ad93f0;INC49641880;;0
